DATE,VOTE,INFO
2025-05-08,5,"배송이 정말 빠르네요. 오전에 일찍 구매하고 다음날 받아서 좋았습니다. 청음도 못해봤고 글로만 찾아보다 고민고민끝에 720제품을 구매했는데 소리는 괜찮으면서도 저처럼 딱히 예민하지 않다면 아주 좋은 음향을 듣게 해주는듯합니다. 확실히 소니가 둥둥 울리는 소리가 강하긴하네요. 살짝 중간으로 듣기에 무리도 없고 좋습니다.
특히 유선 연결 가능한점때문에 구매를 하게 됐어요. 그러다보니 약간 블루투스보다 유선 케이블의 사용유무가 중요하게 느껴졌어요. 연결도 끊어짐없이 안정적이네요.
노캔 기능은 쓸생각이 별로 없어서 이 제품을 선택한 이유이기도해요 노캔이 아주 강한편은 아니란 글들이 많이 보여서요. 귀는 다 덮어주긴 하지만 머리 옆면에 밀착되는 모양은 아니라서 저는 상당히 붕뜨네요 그래도 실내에서 착용할 생각이라 이부분도 괜찮습니다.

다만 조금 아쉬운건 밀봉스티커도 하나 없고 헤드폰 한쪽면이 긁힌건지 많이 문지른건지 모를 흔적?이 남아있어서 조금 고민은했지만 귀찮아서 그냥 쓸게요. 일부러 이런저런 걱정 덜하려고 공식스토어에서 구매를 한건데 검수가 더 꼼꼼하길 바랍니다. 조금 더 사용해봐야겠지만 소리가 나쁘지 않아서 단계를 하나씩 올려서 더 고사양의 헤드폰으로 옮겨가고 싶어질때 다시 구매할게요 잘쓰겠습니다."
2025-05-24,4,"무난하게 쓰기 좋아요! 확실히 고가형 헤드폰에 비해 노이즈캔슬링은 약한 편이지만 어느 정도 소음을 잡아줘서 괜찮습니다ㅎㅎ 다만 사면서 걱정은 했는데 누음이 있습니다🥲 30 정도 음량일 때에도 바로 옆에 귀대면 소리 들려요. 그래도 제가 쓰고 있을 때 누가 제 해드폰에 귀대고 듣진 않을 테니 소리 너무 크게 하지만 않으면 일상생활에서 쓸만할 것 같습니다.

음질도 좋고 전용 앱에서 이퀄라이저 조절하면 훨씬 좋아집니다! 다들 쓰신 것처럼 입문용으로 좋고, 음질이나 노이즈캔슬링이 중요하신 분들은 아예 가격 높여서 고가형 사시는 게 좋을 것 같아요."
2025-05-30,5,"약간의 노이즈캔슬링이라 보호도 되고
공공기관에서 소리도 새어나가지 않아서
저에게는 딱 좋은 헤드셋 인 것 같아요~!
가장 좋은 건 맥스를 포함해서
위 소니 헤드셋을 구매한 이유는
운동 할 때의 가벼움과 오래착용하게되면
경추를 누르지 않는 디스크 예방 및
진짜 건강을 위해 운동 할 목적 포함이었는데 이 모든 조건을 부합한 헤드셋이라
구매했습니다 ^^
결과적으로 엄청 만족합니다~!
아무데서나 무엇을 하든지
다 착용할 수 있어서 일상의 힐링이네요^^"
2025-05-13,5,디자인도 간결해서 좋고 선을 폰 등에 연결할 수 있어서 굳이 설정을 조작할 필요도 없습니다. 부모님 등 나이 드신 분들이 쓰기에 좋은 듯합니다. 폰으로 유튜브 보는 부모님이 있으면 사드리기 좋습니다. 귀에 꽂는 것도 아니어서 귀가 아프지도 않아서 좋기도 한 듯합니다. 노이즈캔슬링도 포함되어 볼륨을 낮게 해도 괜찮다는 점도 귀 건강에 도움이 될 듯합니다. 시끄럽게 틀어놔 같이 사는 데 불편함이 있다면 이런 게 도움이 될 듯합니다. 다만 노이즈캔슬링 기능이 엄청나게 좋지는 않습니다. 그러니까 외부 소음을 완전히 차단하지는 못합니다.
2025-05-20,4,"먼저 빠른배송 감사합니다 
제품은 정품 맞고요 소리도 잘들리고 가벼워서 좋아요 앞으로 쭉 사용할거같아요
디자인도 깔끔해서 딱 제 취향입니다
선명한 음질 짱입니다"
2025-05-22,4,인강때문에 구입했는데 디자인도 멋지고 성능도 좋아요 이어폰때문에 중이염 자주 왔는데 이것 써서 좋아지길 바래요
2025-05-23,5,배송빠르고 포장도 잘 되어서 왔어요.  무선이어폰은 귀가 아파서 헤드폰형식으로 구매했어요.  헤드폰 형식은 처음 써보는데 귀도 안아프고 소리도 좋아서 인강 들을때 넘우 좋네용 ㅎ 추천추천
2025-05-23,5,처음에 하자가 있는 걸 받아서 재배송까지 일주일 걸렸지만 기다린 만큼 만족스럽네요•• 에어팟 너무 불편한데 이제 헤드셋 잘 쓸 것 같아요🩷😋
2025-05-10,5,정가가 19만원대였던 걸로 기억하는데 세일 때 운좋게 13만원대에 구입해서 기뻐요! 가성비 좋은 소니 입문템으로 유명하더니 유명한 이유가 있는 것 같습니다. 깔끔하고 제 기능을 잘해서 만족스러워요. 잘 쓰겠습니다!
2025-05-30,5,헤드폰 진짜 가볍고 음향도 괜찮아요. 배송도 엄청 빨랐어요 !!
2025-05-18,5,배송이 빠르다는 리뷰 보고 금요일 오전에 주문했는데 토요일에 도착했습니다. 1000XM5 사용해 봤는데 중량이 훨씬 가벼워져서 좋았아요. 마지막으로 헤드폰은 꼭 시착해 보고 구매하시길 바랍니다.
2025-05-26,4,"사운드도, 노캔성능도 좋았습니다. 
어플을 통해 설정들을 변경할 수 있는 것도 좋았어요. 
가격을 생각하면 너무 괜찮은거 같습니다.  
자녀에게 선물하기 좋은 제품인거 같습니다."
2025-05-17,5,딸생일선물로  샀어요 마음에 들어하네요. 앰프에 연결용으로 샀는데 이왕이면 무선도 가능하면 좋을것같아 써치중 가성비가 좋을것같아 구매했어요~
2025-05-27,5,쓰기 간편하면서도 성능이 좋아서 만족합니다
2025-05-01,5,"배송 빠릅니다
생각보다 가볍네요
아들 선물용이라 소리는 아직 못들어 봤습니다
제 머리가 큰 편인데도 편안하게 조절되고 귀에 잘 맞네요"
2025-05-10,5,가볍고 음질이 좋아요! 가격대비 성능이 좋고 어플에 기능이 많아서 좋은 것 같아요. 케이스는 따로 없으니 참고하세요
2025-05-12,5,"선물용으로 구매했습니다
좋아하네요 소니는 믿고 삽니다
공식홈이기도 했고 가격도 적당했습니다!"
2025-05-22,4,자녀의 구매 요청으로 구입했고. 좋아하네요.
2025-05-22,5,조카 생일선물로 사줬더니 굉장히 좋아합니다. 가겹고 착용감 좋아요
2025-05-11,5,"음질도 좋고 켤 때 블루투스 연결도 빠릅니다
성인 남자 머리에도 여유 있습니다"
2025-05-11,5,"좋아요 선물했는데 좋아해요
포장패키지가 엄청 단순해져서
어색했는데 좋은 변화라고 느껴졌습니다."
2025-05-14,4,좋아요 운동할때 사용할려고 구매했는데 착용감 소리 만족합니다
2025-05-20,5,빠른 배송 감사합니다
2025-05-23,5,"가성비 좋네요
추억의 소니~!!"
2025-05-30,5,"한달사용재구매선물용으로 샀는데 받는 분이 만족하셨어요.
그래서 제가 쓸 것 재주문요!"
2025-05-11,5,편해요 음질도 좋구요 귀에 땀은 좀 차지만 겨울에 더 잘쓸듯요
2025-05-09,4,한달사용케이스 없는것 빼곤 좋아요 성능도 좋고
2025-04-19,5,원래 소니 WH-CH710 잘 쓰다가 망가져서 동생 헤드폰 선물 겸 제것도 같이 샀어요. 710보다 음질도 좋고 조금 더 가볍네요! 잘 쓰도록 하겠습니다🫶
2025-05-17,5,배송 너무 빠르고 좋아요
2025-05-09,5,"저렴한데 노이즈캔슬링도 되고 저렴하게 잘산듯!!
다른색깔도 좀 욕심나오"
2025-05-11,5,와이프한테 너무 잘어울리고 귀여워요
2025-05-11,5,"가성비 좋은 제품입니다~
잘쓸께요~~^^!"
2025-03-26,5,"헤드셋 구매했습니다. 블루 구매하고 나서 써보다가 이정도가격에 노이즈캔슬링 기능이 맘에들어 구매했습니다. 통화도 잘되구요! 집에서 평범하게 그 이상으로 활용도가 높습니다. 인강, 노래, 운동 다양도로 쓰고있고 좀 아쉽다면, 해당 제품은 부품같은 교체가 정품사이트에서 구매할 수 가없어 재고를 확인하고 교체가능하다는 점이 아쉬운거 같습니다. 그래도 10만원대에 훌륭한 제품이라고 생각됩니다!!"
2025-05-14,5,아직 써보진 않았는데 기대됩니다
2025-05-01,5,배송도 빠르고 제품도 좋아요
2025-04-26,3,가볍고 음질 좋고 아이폰과 호환성 좋내요
2025-04-27,5,한달사용헤드셋 구매후 잘 쓰곤있습니다 정품인증도 해두고 음질 모두 적절합니다ㅔ
2025-05-25,5,디자인 소리 좋아요.
2025-04-28,5,가볍고 음질도 좋고 배송도 만족합니다
2025-05-16,5,부모님 어버이날 선물로 구매해드렸더니 엄청 좋아하셨어요 (뿌듯)
2025-05-13,4,한달사용아이가 필요해서 구매했어요 잘 사용중입니다
2025-05-31,5,한달사용╰(*´︶`*)╯🖤
2025-04-09,5,"노이즈캔슬링, 주변음 듣기 모두 괜찮게 작동하고, 통화 품질도 괜찮습니다. 유선 연결도 가능해서 좋네요."
2025-05-17,5,아들이 맘에들어합니다
2025-04-25,5,"가성비템으로  너무 좋습니다
역시 소니 ㅎㅎ"
